,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
C22:6 LPC,1,,,,,1,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,
C16:0 LPE,,-1,,,,,,-1,,1,1,1,,,,,,,,,,,,,-1,-1,-1,,,,1,,,,,,,,,,,
C18:1 LPE,,-1,,1,,,-1,-1,,1,1,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,
C18:0 LPE,,-1,,,,,,-1,,1,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
C20:4 LPE,,-1,,,,,1,-1,-1,,,,,,,,,,1,,,,-1,,,,,,,,,,,,-1,,,,,,,
C22:6 LPE,,,,,,,,,-1,,,,,,,-1,,,,,,1,,,,-1,,,,,,,,,,,,,,,-1,
C32:2 PC,,1,1,,,,-1,,1,1,1,1,1,1,-1,1,1,1,-1,,,,,,,1,,,,,,,,,,,,,,,,
C32:1 PC,,,1,,-1,,-1,-1,,1,1,1,1,1,-1,1,1,1,,,,,,-1,,,,,,,,,,,,,,,,,,-1
C32:0 PC,-1,-1,,,,-1,-1,-1,,1,,,,1,-1,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,-1
C34:4 PC,,,,,,,,,,,1,1,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
C34:3 PC,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
C34:2 PC,,,1,,,,-1,-1,,1,1,,,1,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
C34:1 PC,,,1,,,,,-1,,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,-1
C36:4 PC-A,,-1,,,,,,,-1,1,,,,,,,,,,1,,1,,,,-1,-1,,,-1,,,,,,,,,,,,
C36:4 PC-B,-1,,,,,,,,-1,,,,,-1,,,,,,,,1,,,,-1,-1,,-1,-1,1,,,,,,,,,,,
C36:3 PC,-1,-1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,-1,,,,,,,,,,,,
C36:2 PC,,,,,,,-1,-1,,1,1,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,
C36:1 PC,,-1,,,,,,-1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C38:6 PC,1,-1,,,,,,,-1,,,,,-1,,,,,1,,,,,,,-1,,,-1,-1,1,,,,-1,,,,,,,
C38:5 PC,-1,-1,,,,,,,-1,,,,,-1,,,,,1,,,1,,,,-1,-1,,-1,-1,,,,,,,,,,,,-1
C38:4 PC,-1,-1,,,,,,-1,-1,,,,,,,,,,1,,,1,,,,-1,-1,,-1,-1,,,,,,,,,,,,-1
C38:2 PC,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
