,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
1-methylnicotinamide,,0.0015,0.0251,,0.0335,,,0.0,0.018,0.0001,0.0,0.0,0.0071,,,,0.0,,,,,,,,,,0.002,,,,,,,,0.025,,0.0189,,,,0.0004,0.0005
Butyrobetaine,0.0425,,,,,,,,,,,,,,,0.0169,,,0.027,0.0153,0.0273,,0.0462,0.0065,,,,,,,,,,,,,0.0056,,,,,
Putrescine,,,,,,,,0.0151,,,0.031,0.0319,,,,,,,,,,,,,,,,,,0.0111,,0.0198,0.035,,,,,,0.0496,,,0.0311
Methionine sulfoxide,,0.0043,,,,,,0.0008,,0.0021,0.0392,,,,0.0209,0.0432,0.0071,,,,,,,,,0.0203,0.0003,,,0.0002,0.0327,,,,,,,,,,,
Carnitine,0.0025,0.0019,,,,,,0.0089,,,,,,,,0.0133,0.0305,,,0.0434,0.0138,0.0014,0.0278,,,,,,0.0037,0.0014,,,,,,,,,,,,
Acetylcarnitine,0.0069,,,,,,,,,,,,,,,0.0226,,,0.0249,,,,,,,,,,,,,,,,,,,,,,,
Propionylcarnitine,,,,,,,,,,,,,,,,,,,,,,,,,0.0115,,,,,,,,,,,,,,,,,
Malonylcarnitine,,,,,,,,,,,,,,,,,,,,0.0207,,,,,,,,,,0.018,0.0049,,,,,,,,,,,
Butyrylcarnitine/Isobutyrylcarnitine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,0.0106
Valerylcarnitine/Isovalerylcarnitine/2-methylbutyroylcarnitine,,,,,,,,,,,,0.0305,0.0135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hexanoylcarnitine,,,,,,,,,,,,,,,,,,,,,,,0.0237,,,,,,,,,,,,,,0.0242,,,,,
Heptanoylcarnitine,,,,0.0057,,,,,0.0392,,,,,,,,,,0.0303,,,,,,,0.0072,,,,,,,,,,,,,,,,
Lauroylcarnitine,,,,,0.0042,0.0061,,,0.0459,,,,,,0.0381,,,,,0.0155,,,,0.0109,,,0.0396,,,,,,,,0.048,,,,,,0.0389,
Myristoylcarnitine,,,,,0.0161,0.0201,,,,,,,,,,,,,,0.0267,,,0.0162,0.0376,,,,,,,,,,,0.0068,0.0285,,,,,,
Palmitoylcarnitine,,,,,0.027,,,,0.0403,,,,,,,,,,,,,,,,,,,,,,,,0.0496,,0.0066,,,,,,,
Stearoylcarnitine,,0.0481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0326,,0.0091,,,,,,,
Oleylcarnitine,,0.0037,,,0.0262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
