Reaction ID,Reaction Name,Metabolite,Metabolite ID,Metabolite Name,
EX_glc__D_e,D-Glucose exchange,glc__D_e,glc__D_e,D-Glucose,
EX_gln__L_e,L-Glutamine exchange,gln__L_e,gln__L_e,L-Glutamine,
EX_glu__L_e,L-Glutamate exchange,glu__L_e,glu__L_e,L-Glutamate,
EX_gluala_e,5-L-Glutamyl-L-alanine exchange,gluala_e,gluala_e,5 L Glutamyl L alanine C8H13N2O5,
EX_gly_e,Glycine exchange,gly_e,gly_e,Glycine,
EX_glyb_e,Glycine betaine exchange,glyb_e,glyb_e,Glycine betaine,
EX_glyc_e,Glycerol exchange,glyc_e,glyc_e,Glycerol,
EX_glyc__S_e,(S)-Glycerate exchange,glyc__S_e,glyc__S_e,(S)-Glycerate,
EX_glygn2_e,"Glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]}) exchange",glygn2_e,glygn2_e,"Glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",
EX_glygn4_e,"Glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]}) exchange",glygn4_e,glygn4_e,"Glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})",
EX_glygn5_e,"Glycogen, structure 5 (glycogenin-2[1,4-Glc]) exchange",glygn5_e,glygn5_e,"Glycogen, structure 5 (glycogenin-2[1,4-Glc])",
EX_gmp_e,GMP exchange,gmp_e,gmp_e,GMP C10H12N5O8P,
EX_gp1c_hs_e,GP1c (homo sapiens) exchange,gp1c_hs_e,gp1c_hs_e,GP1c (homo sapiens),
EX_gp1calpha_hs_e,GP1c alpha  (homo sapiens) exchange,gp1calpha_hs_e,gp1calpha_hs_e,GP1c alpha  (homo sapiens),
EX_gq1b_hs_e,GQ1b (homo sapiens) exchange,gq1b_hs_e,gq1b_hs_e,GQ1b (homo sapiens),
EX_gq1balpha_hs_e,GQ1balpha (homo sapiens) exchange,gq1balpha_hs_e,gq1balpha_hs_e,GQ1balpha (homo sapiens),
EX_gsn_e,Guanosine exchange,gsn_e,gsn_e,Guanosine,
EX_gt1a_hs_e,GT1a (homo sapiens) exchange,gt1a_hs_e,gt1a_hs_e,GT1a (homo sapiens),
EX_gthox_e,Oxidized glutathione exchange,gthox_e,gthox_e,Oxidized glutathione,
EX_gthrd_e,Reduced glutathione exchange,gthrd_e,gthrd_e,Reduced glutathione,
EX_gtp_e,GTP exchange,gtp_e,gtp_e,GTP C10H12N5O14P3,
EX_gua_e,Guanine exchange,gua_e,gua_e,Guanine,
EX_h2o2_e,Hydrogen peroxide exchange,h2o2_e,h2o2_e,Hydrogen peroxide,
EX_h2o_e,H2O exchange,h2o_e,h2o_e,H2O H2O,
EX_h_e,H+ exchange,h_e,h_e,H+,
EX_ha_e,Hyaluronan exchange,ha_e,ha_e,Hyaluronan,
EX_ha_pre1_e,"Hyaluronan biosynthesis, precursor 1 exchange",ha_pre1_e,ha_pre1_e,"Hyaluronan biosynthesis, precursor 1",
EX_hco3_e,EX hco3 LPAREN e RPAREN ,hco3_e,hco3_e,Bicarbonate,
EX_hcoumarin_e,Hydroxy coumarin exchange,hcoumarin_e,hcoumarin_e,Umbelliferone, 7-Hydroxy-2H-1-Benzopyran-2-one
EX_hdca_e,Hexadecanoate (n-C16:0) exchange,hdca_e,hdca_e,Hexadecanoate (n-C16:0),
EX_hdcea_e,Hexadecenoate (n-C16:1) exchange,hdcea_e,hdcea_e,Hexadecenoate (n-C16:1),
EX_hestratriol_e,"4,17 dihydroxy estradiol exchange",hestratriol_e,hestratriol_e,"4,17 dihydroxy estradiol",
EX_hexc_e,Hexacosanoate  n C260  exchange,hexc_e,hexc_e,Hexacosanoate  n C260  C26H51O2,
EX_his__L_e,L-Histidine exchange,his__L_e,his__L_e,L-Histidine,
EX_hista_e,Histamine exchange,hista_e,hista_e,Histamine extracellular,
EX_hom__L_e,L-Homoserine exchange,hom__L_e,hom__L_e,L-Homoserine,
EX_hpdca_e,Heptadecanoate exchange,hpdca_e,hpdca_e,Heptadecanoate  C170  C17H33O2,
EX_hspg_e,Heparan sulfate proteoglycan exchange,hspg_e,hspg_e,Heparan sulfate proteoglycan,
EX_htaxol_e,Hydroxylated taxol exchange,htaxol_e,htaxol_e,Hydroxylated taxol,
EX_hxan_e,Hypoxanthine exchange,hxan_e,hxan_e,Hypoxanthine,
EX_i_e,Iodide exchange,i_e,i_e,I c,
EX_idp_e,IDP exchange,idp_e,idp_e,IDP C10H11N4O11P2,
EX_ile__L_e,L-Isoleucine exchange,ile__L_e,ile__L_e,L-Isoleucine,
EX_imp_e,IMP exchange,imp_e,imp_e,IMP C10H11N4O8P,
EX_inost_e,Myo-Inositol exchange,inost_e,inost_e,Myo-Inositol,
EX_ins_e,Inosine exchange,ins_e,ins_e,Inosine,
EX_k_e,K+ exchange,k_e,k_e,Potassium,
EX_ksi_e,Keratan sulfate I exchange,ksi_e,ksi_e,Keratan sulfate I,
EX_ksi_deg1_e,"Keratan sulfate I, degradation product 1 exchange",ksi_deg1_e,ksi_deg1_e,"Keratan sulfate I, degradation product 1",
EX_ksii_core2_e,Keratan sulfate II (core 2-linked) exchange,ksii_core2_e,ksii_core2_e,Keratan sulfate II (core 2-linked),
EX_ksii_core4_e,Keratan sulfate II (core 4-linked) exchange,ksii_core4_e,ksii_core4_e,Keratan sulfate II (core 4-linked),
EX_lac__D_e,D-lactate exchange,lac__D_e,lac__D_e,D-Lactate,
EX_lac__L_e,L-Lactate exchange,lac__L_e,lac__L_e,L-Lactate,
EX_lcts_e,Lactose exchange,lcts_e,lcts_e,Lactose C12H22O11,
EX_leu__L_e,L-Leucine exchange,leu__L_e,leu__L_e,L-Leucine,
EX_leuktrC4_e,Leukotriene C4 exchange,leuktrC4_e,leuktrC4_e,Leukotriene C4 ER,
EX_lgnc_e,Lignoceric acid exchange,lgnc_e,lgnc_e,Lignoceric acid,
EX_limnen_e,Limonene exchange,limnen_e,limnen_e,Limnen c,
EX_lipoate_e,Lipoate exchange,lipoate_e,lipoate_e,Lipoate,
EX_lneldc_e,Linoelaidic acid exchange,lneldc_e,lneldc_e,Linoelaidic acid (all trans C18:2),
EX_lnlc_e,Linoleic acid (all cis C18:2) exchange,lnlc_e,lnlc_e,Linoleic acid (all cis C18:2) n-6,
EX_lnlnca_e,Alpha-Linolenic acid exchange,lnlnca_e,lnlnca_e,"Alpha-Linolenic acid, C18:3, n-3",
EX_lnlncg_e,Gamma-linolenic acid exchange,lnlncg_e,lnlncg_e,Gamma-linolenic acid,
EX_lpchol_hs_e,Lysophosphatidylcholine (homo sapiens) exchange,lpchol_hs_e,lpchol_hs_e,Lysophosphatidylcholine (homo sapiens),
EX_lys__L_e,L-Lysine exchange,lys__L_e,lys__L_e,L-Lysine,
EX_mag_hs_e,Monoacylglycerol 2 (homo sapiens) exchange,mag_hs_e,mag_hs_e,Monoacylglycerol 2 (homo sapiens),
EX_malt_e,Maltose exchange,malt_e,malt_e,Maltose C12H22O11,
EX_malttr_e,Maltotriose exchange,malttr_e,malttr_e,Maltotriose C18H32O16,
EX_man_e,D-Mannose exchange,man_e,man_e,D-Mannose,
